,Year,Semester,Course,Grade,Count,Instructor
33227,2021-22,1,AE799,8S/0X,1,Pritam  Chakraborty   (I)
33228,2021-22,1,AE799,12S/0X,1,Pritam  Chakraborty   (I)
33229,2021-22,1,AE799,16S/0X,4,Pritam  Chakraborty   (I)
33230,2021-22,1,AE799,0S/0X,3,Pritam  Chakraborty   (I)
33231,2021-22,1,AE799,36S/0X,86,Pritam  Chakraborty   (I)
33232,2021-22,1,AE799,27S/0X,12,Pritam  Chakraborty   (I)
33233,2021-22,1,AE799,18S/0X,8,Pritam  Chakraborty   (I)
33234,2021-22,1,AE799,0S/27X,1,Pritam  Chakraborty   (I)
33235,2021-22,1,AE799,9S/0X,3,Pritam  Chakraborty   (I)
33236,2021-22,1,AE799,9S/27X,1,Pritam  Chakraborty   (I)
33237,2021-22,1,AE799,0S/36X,1,Pritam  Chakraborty   (I)
33238,2021-22,1,AE799,18S/0S,1,Pritam  Chakraborty   (I)
33239,2021-22,1,ECO799,16S/0X,3,SOHINI  SAHU   (I)
33240,2021-22,1,ECO799,0S/0X,1,SOHINI  SAHU   (I)
33241,2021-22,1,ECO799,36S/0X,34,SOHINI  SAHU   (I)
33242,2021-22,1,ECO799,27S/0X,3,SOHINI  SAHU   (I)
33243,2021-22,1,ECO799,18S/0X,1,SOHINI  SAHU   (I)
33244,2021-22,1,CHE799,8S/0X,2,NAVEEN TIWARI(I)
33245,2021-22,1,CHE799,0S/8X,1,NAVEEN TIWARI(I)
33246,2021-22,1,CHE799,16S/0X,1,NAVEEN TIWARI(I)
33247,2021-22,1,CHE799,36S/0X,45,NAVEEN TIWARI(I)
33248,2021-22,1,CHE799,27S/0X,9,NAVEEN TIWARI(I)
33249,2021-22,1,CHE799,18S/9X,1,NAVEEN TIWARI(I)
33250,2021-22,1,CHE799,27S/9X,1,NAVEEN TIWARI(I)
33251,2021-22,1,CHE799,0S/36X,1,NAVEEN TIWARI(I)
33252,2021-22,1,CHE799,18S/0X,15,NAVEEN TIWARI(I)
33253,2021-22,1,CHE799,9S/0X,2,NAVEEN TIWARI(I)
33254,2021-22,1,CE799,16S/0X,2,SUPARNO MUKHOPADHYAY(I)
33255,2021-22,1,CE799,0S/8X,1,SUPARNO MUKHOPADHYAY(I)
33256,2021-22,1,CE799,36S/0X,101,SUPARNO MUKHOPADHYAY(I)
33257,2021-22,1,CE799,18S/0X,18,SUPARNO MUKHOPADHYAY(I)
33258,2021-22,1,CE799,0S/0X,2,SUPARNO MUKHOPADHYAY(I)
33259,2021-22,1,CE799,27S/9X,1,SUPARNO MUKHOPADHYAY(I)
33260,2021-22,1,CE799,27S/0X,23,SUPARNO MUKHOPADHYAY(I)
33261,2021-22,1,CE799,18S/18X,4,SUPARNO MUKHOPADHYAY(I)
33262,2021-22,1,CE799,9S/0X,4,SUPARNO MUKHOPADHYAY(I)
33263,2021-22,1,EE799,0S/12X,1,SOUMYA RANJAN  SAHOO (I)
33264,2021-22,1,EE799,16S/0X,9,SOUMYA RANJAN  SAHOO (I)
33265,2021-22,1,EE799,8S/0X,1,SOUMYA RANJAN  SAHOO (I)
33266,2021-22,1,EE799,0S/18X,1,SOUMYA RANJAN  SAHOO (I)
33267,2021-22,1,EE799,36S/0X,186,SOUMYA RANJAN  SAHOO (I)
33268,2021-22,1,EE799,18S/0X,23,SOUMYA RANJAN  SAHOO (I)
33269,2021-22,1,EE799,0S/0X,2,SOUMYA RANJAN  SAHOO (I)
33270,2021-22,1,EE799,27S/0X,11,SOUMYA RANJAN  SAHOO (I)
33271,2021-22,1,EE799,27S/9X,4,SOUMYA RANJAN  SAHOO (I)
33272,2021-22,1,EE799,18S/18X,4,SOUMYA RANJAN  SAHOO (I)
33273,2021-22,1,EE799,9S/0X,4,SOUMYA RANJAN  SAHOO (I)
33274,2021-22,1,EE799,0S/27X,1,SOUMYA RANJAN  SAHOO (I)
33275,2021-22,1,EE799,18S,1,SOUMYA RANJAN  SAHOO (I)
33276,2021-22,1,ME799,16S/0X,12,SHAKTI SINGH  GUPTA (I)
33277,2021-22,1,ME799,12S/0X,1,SHAKTI SINGH  GUPTA (I)
33278,2021-22,1,ME799,8S/0X,1,SHAKTI SINGH  GUPTA (I)
33279,2021-22,1,ME799,0S/8X,1,SHAKTI SINGH  GUPTA (I)
33280,2021-22,1,ME799,36S/0X,114,SHAKTI SINGH  GUPTA (I)
33281,2021-22,1,ME799,0S/0X,5,SHAKTI SINGH  GUPTA (I)
33282,2021-22,1,ME799,27S/0X,13,SHAKTI SINGH  GUPTA (I)
33283,2021-22,1,ME799,9S/27X,1,SHAKTI SINGH  GUPTA (I)
33284,2021-22,1,ME799,18S/0X,15,SHAKTI SINGH  GUPTA (I)
33285,2021-22,1,ME799,27S/9X,2,SHAKTI SINGH  GUPTA (I)
33286,2021-22,1,ME799,0S/36X,1,SHAKTI SINGH  GUPTA (I)
33287,2021-22,1,ME799,18S/9X,1,SHAKTI SINGH  GUPTA (I)
33288,2021-22,1,ME799,9S/9X,2,SHAKTI SINGH  GUPTA (I)
33289,2021-22,1,ME799,9S/0X,5,SHAKTI SINGH  GUPTA (I)
33290,2021-22,1,ME799,0S/9X,1,SHAKTI SINGH  GUPTA (I)
33291,2021-22,1,CHM800A,S,277,RAJA ANGAMUTHU(I)
33292,2021-22,1,CHM799,8S/0X,3,RAJA ANGAMUTHU(I)
33293,2021-22,1,CHM799,16S/0X,5,RAJA ANGAMUTHU(I)
33294,2021-22,1,CHM799,0S/0X,6,RAJA ANGAMUTHU(I)
33295,2021-22,1,CHM799,36S/0X,224,RAJA ANGAMUTHU(I)
33296,2021-22,1,CHM799,27S/9X,1,RAJA ANGAMUTHU(I)
33297,2021-22,1,CHM799,18S/0X,1,RAJA ANGAMUTHU(I)
33298,2021-22,1,CHM799,9S/27X,1,RAJA ANGAMUTHU(I)
33299,2021-22,1,CHM799,27S/0X,4,RAJA ANGAMUTHU(I)
33300,2021-22,1,CHM799,9S/0X,3,RAJA ANGAMUTHU(I)
33301,2021-22,1,CHM801A,S,277,RAJA ANGAMUTHU(I)
33302,2021-22,1,IME799,16S/0X,2,SHANKAR PRAWESH(I)
33303,2021-22,1,IME799,8S/0X,1,SHANKAR PRAWESH(I)
33304,2021-22,1,IME799,18S/0X,9,SHANKAR PRAWESH(I)
33305,2021-22,1,IME799,36S/0X,39,SHANKAR PRAWESH(I)
33306,2021-22,1,IME799,27S/9X,2,SHANKAR PRAWESH(I)
33307,2021-22,1,IME799,27S/0X,5,SHANKAR PRAWESH(I)
33308,2021-22,1,IME698A,S,119,SHANKAR PRAWESH(I)
33309,2021-22,1,MSE799,16S/0X,2,NILESH PRAKASH GURAO(I)
33310,2021-22,1,MSE799,8S/0X,1,NILESH PRAKASH GURAO(I)
33311,2021-22,1,MSE799,36S/0X,80,NILESH PRAKASH GURAO(I)
33312,2021-22,1,MSE799,9S/0X,6,NILESH PRAKASH GURAO(I)
33313,2021-22,1,MSE799,18S/0X,9,NILESH PRAKASH GURAO(I)
33314,2021-22,1,MSE799,18S/18X,2,NILESH PRAKASH GURAO(I)
33315,2021-22,1,MSE799,0S/0X,1,NILESH PRAKASH GURAO(I)
33316,2021-22,1,MSE799,27S/0X,10,NILESH PRAKASH GURAO(I)
33317,2021-22,1,MSE799,0S/27X,1,NILESH PRAKASH GURAO(I)
33318,2021-22,1,MSE799,27S/9X,2,NILESH PRAKASH GURAO(I)
